Name,Description,Price,Website,Image
Peterbald,"Comúnmente conocidos como esfinges de Petersburgo. De origen ruso y creados en 1994, estos ejemplares poseen una cabeza alargada y sus orejas apuntan hacía ambos lados, su cuerpo puede o no estar cubierto de un poco de pelo. Son muy cariñosos, obedientes y sociables.",1200,https://es.wikipedia.org/wiki/Peterbald,https://ticapacitacion-public.sharepoint.com/Labs/images/peterbald.jpg
Gato himalayo,"Provenientes de la familia de los persas, estos gatos fueron mutados en 1950 en Estados Unidos. Generalmente son de carácter muy agradable y son dóciles con los humanos.",1300,https://es.wikipedia.org/wiki/Gato_himalayo,https://ticapacitacion-public.sharepoint.com/Labs/images/Himalayo.jpg
Gato escocés,Estos gatos se hicieron populares en los 50’s por su pequeño ‘error genético’ que terminó siendo adorable; sus orejitas apuntan hacia abajo. La característica especial de estos felinos es que pueden caminar sobre sus patas traseras para lograr alcanzar algo de su interés. Suelen ser inteligentes y juguetones.,1500,https://es.wikipedia.org/wiki/Scottish_Fold,https://ticapacitacion-public.sharepoint.com/Labs/images/escoces.jpg
Mau Egipcio,"Este se asemeja a las pinturas en los murales egipcios, sin embargo a lo largo de 3.000 años han sido modificados hasta quedar con esta estructura genética.",1500,https://es.wikipedia.org/wiki/Mau_egipcio,https://ticapacitacion-public.sharepoint.com/Labs/images/MauEgipcio.jpg
Maine Coon,Es considerado uno de los gatos más grandes del mundo. Su peso puede ser entre los 5 y 15 kilos y su altura puede llegar a ser de 1.23 metros. ,1600,https://es.wikipedia.org/wiki/Maine_Coon,https://ticapacitacion-public.sharepoint.com/Labs/images/MaineCoon.jpg
Azul ruso,Considerado por los rusos el gato que trae la buena suerte al hogar. Fue reconocido en 1893.,2000,https://es.wikipedia.org/wiki/Azul_ruso,https://ticapacitacion-public.sharepoint.com/Labs/images/AzulRuso.jpg
La Perm,Esta raza apareció en 1980 en los Estados Unidos y su genética abarca un gran número de tonos en su pelaje rizado. Son muy afables con los niños.,2100,https://gatos.paradais-sphynx.com/razas-felinas/laperm.htm,https://ticapacitacion-public.sharepoint.com/Labs/images/LaPerm.jpg
Serengeti,"Esta peculiar raza se creó en 1994. Su tamaño es grande y puede llegar a pesar entre 8 y 12 kg. Son fuertes, sus orejas son grandes y sus patas son largas.",2200,https://es.wikipedia.org/wiki/Gato_Serengeti,https://ticapacitacion-public.sharepoint.com/Labs/images/Serengetti.jpg
Gato Elfo,"Esta peculiar raza se creó en 1994. Su tamaño es grande y puede llegar a pesar entre 8 y 12 kg. Son fuertes, sus orejas son grandes y sus patas son largas.",2500,http://www.notigatos.es/razas-gato-sin-pelo/,https://ticapacitacion-public.sharepoint.com/Labs/images/Elfo.jpg
Gato noruego del bosque,"Los antepasados de esta raza fueron criados por vikingos, hace unos 2.000 años.  Su exceso de pelaje está diseñado exclusivamente para lugares donde hay muy bajas temperaturas. Son ejemplares increíbles para la caza.",3000,https://es.wikipedia.org/wiki/Bosque_de_Noruega,https://ticapacitacion-public.sharepoint.com/Labs/images/Noruego.jpg
Curl ,"Creada en California, 1981. Cuando están recién nacidos parecen gatos comunes, pero a los 10 días sus orejas se enrollan hacia atrás, para tomar su forma definitiva.",3000,https://es.wikipedia.org/wiki/Curl_Americano,https://ticapacitacion-public.sharepoint.com/Labs/images/curl.jpg
Gato de Bengala,"Aunque sea difícil de creer, este gato es una cruza de un gato doméstico con un leopardo asiático. Su peso oscila entre los 4 y 8 kilos. Son de los pocos a los que les encanta bañarse.",4000,https://es.wikipedia.org/wiki/Prionailurus_bengalensis,https://ticapacitacion-public.sharepoint.com/Labs/images/Bengala.jpg
Safari,"Este gato fue creado en un principio con el fin de curar la leucemia, en Estados Unidos en 1970, Es una cruza entre un gato casero y uno salvaje sudamericano de Geoffroy. Llega a pesar hasta 11 kilos.",8000,https://es.wikipedia.org/wiki/Leopardus_geoffroyi,https://ticapacitacion-public.sharepoint.com/Labs/images/Safari.jpg
Khao Manee,"En Siam antiguo, tener un gato Khao Manee se consideraba símbolo de abundancia, suerte y longevidad y solo los podían tener las familias más acomodadas. La primera vez que se hace mención de esta raza es en el “libro de los poemas del gato” del año 1350.",10000,https://es.wikipedia.org/wiki/Khao_Manee,https://ticapacitacion-public.sharepoint.com/Labs/images/KhaoManee.jpg
Caracal ,"Considerado como uno de los felinos más hermosos del mundo, el Caracal ahora se encuentra en peligro de extinción, debido a su dificultad para crearlos.  En un principio una especie salvaje, hoy se ha domesticado para preservar su linaje. ",10000,https://mamiferos.paradais-sphynx.com/felinos/pequenos-felidos-salvajes/caracal-caracal.htm,https://ticapacitacion-public.sharepoint.com/Labs/images/Caracal.jpg
Savannah ,"Es considerado ahora como un gato doméstico, proviene del Serval africano. Actualmente están considerados los gatos más grandes del mundo tras alcanzar más de 60 centímetros de altura y su peso normal es de 15 kilos. Son tranquilos, muy inteligentes y activos. ",22000,https://www.petdarling.com/articulos/gato-savannah/,https://ticapacitacion-public.sharepoint.com/Labs/images/Savannah.jpg
Ashera ,"Un cruce entre un gato doméstico, el selval africano y el leopardo asiático han dado lugar a esta nueva raza que está causando furor",100000,http://www.expertoanimal.com/razas-de-gatos/ashera.html,https://ticapacitacion-public.sharepoint.com/Labs/images/Ashera.jpg
